# time_ns ram_addr data nMRD nMWR Q SC
7125 0000 00 1 1 0 01
9125 0000 71 0 1 0 00
11125 0001 00 0 1 0 01
13125 0002 E2 0 1 0 00
15125 0000 00 1 1 0 01
17125 0003 7B 0 1 0 00
19125 0004 00 1 1 1 01
21125 0004 90 0 1 1 00
23125 0005 00 1 1 1 01
25125 0005 B3 0 1 1 00
27125 0000 00 1 1 1 01
29125 0006 F8 0 1 1 00
31125 0007 1E 0 1 1 01
33125 0008 A3 0 1 1 00
35125 0000 00 1 1 1 01
37125 0009 53 0 1 1 00
39125 001E 1E 1 1 1 01
41125 000A 13 0 1 1 00
43125 001E 00 1 1 1 01
45125 000B E3 0 1 1 00
47125 001F 00 1 1 1 01
49125 000C 73 0 1 1 00
51125 001F 1E 1 1 1 01
53125 000D 60 0 1 1 00
55125 001E 1E 0 1 1 01
62375 000E 60 0 1 1 00
64375 001F 1E 0 1 1 01
66375 000F 83 0 1 1 00
68375 0020 00 1 1 1 01
70375 0010 53 0 1 1 00
72375 0020 20 1 1 1 01
74375 0011 C4 0 1 1 00
76375 0012 43 0 1 1 01
78375 0012 43 0 1 1 01
80375 0012 43 0 1 1 00
82375 0020 20 0 1 1 01
84375 0013 53 0 1 1 00
86375 0021 20 1 1 1 01
88375 0014 03 0 1 1 00
90375 0021 20 0 1 1 01
92375 0015 13 0 1 1 00
94375 0021 00 1 1 1 01
96375 0016 53 0 1 1 00
98375 0022 20 1 1 1 01
100375 0017 72 0 1 1 00
102375 0022 20 0 1 1 01
104375 0018 53 0 1 1 00
106375 0023 20 1 1 1 01
108375 0019 F0 0 1 1 00
110375 0023 20 0 1 1 01
112375 001A 13 0 1 1 00
114375 0023 00 1 1 1 01
116375 001B 53 0 1 1 00
118375 0024 20 1 1 1 01
120375 001C 13 0 1 1 00
122375 0024 00 1 1 1 01
124375 001D D3 0 1 1 00
126375 0025 00 1 1 1 01
128375 0025 E2 0 1 1 00
130375 0000 00 1 1 1 01
132375 0026 93 0 1 1 00
134375 0027 00 1 1 1 01
136375 0027 B2 0 1 1 00
138375 0000 00 1 1 1 01
140375 0028 F8 0 1 1 00
142375 0029 9A 0 1 1 01
144375 002A A2 0 1 1 00
146375 0000 00 1 1 1 01
148375 002B F8 0 1 1 00
150375 002C 92 0 1 1 01
152375 002D F1 0 1 1 00
154375 009A 57 0 1 1 01
156375 002E 52 0 1 1 00
158375 009A D7 1 1 1 01
160375 002F 12 0 1 1 00
162375 009A 00 1 1 1 01
164375 0030 F9 0 1 1 00
166375 0031 28 0 1 1 01
168375 0032 52 0 1 1 00
170375 009B FF 1 1 1 01
172375 0033 F8 0 1 1 00
174375 0034 33 0 1 1 01
176375 0035 F3 0 1 1 00
178375 009B FF 0 1 1 01
180375 0036 12 0 1 1 00
182375 009B 00 1 1 1 01
184375 0037 52 0 1 1 00
186375 009C CC 1 1 1 01
188375 0038 12 0 1 1 00
190375 009C 00 1 1 1 01
192375 0039 FB 0 1 1 00
194375 003A 28 0 1 1 01
196375 003B 52 0 1 1 00
198375 009D E4 1 1 1 01
200375 003C F8 0 1 1 00
202375 003D 04 0 1 1 01
204375 003E F2 0 1 1 00
206375 009D E4 0 1 1 01
208375 003F 12 0 1 1 00
210375 009D 00 1 1 1 01
212375 0040 52 0 1 1 00
214375 009E 04 1 1 1 01
216375 0041 12 0 1 1 00
218375 009E 00 1 1 1 01
220375 0042 FA 0 1 1 00
222375 0043 FF 0 1 1 01
224375 0044 52 0 1 1 00
226375 009F 04 1 1 1 01
228375 0045 12 0 1 1 00
230375 009F 00 1 1 1 01
232375 0046 F8 0 1 1 00
234375 0047 85 0 1 1 01
236375 0048 F6 0 1 1 00
238375 00A0 00 1 1 1 01
240375 0049 52 0 1 1 00
242375 00A0 42 1 1 1 01
244375 004A 12 0 1 1 00
246375 00A0 00 1 1 1 01
248375 004B F8 0 1 1 00
250375 004C 85 0 1 1 01
252375 004D FE 0 1 1 00
254375 004E 00 1 1 1 01
256375 004E 52 0 1 1 00
258375 00A1 0A 1 1 1 01
260375 004F 12 0 1 1 00
262375 00A1 00 1 1 1 01
264375 0050 F8 0 1 1 00
266375 0051 85 0 1 1 01
268375 0052 76 0 1 1 00
270375 00A2 00 1 1 1 01
272375 0053 52 0 1 1 00
274375 00A2 C2 1 1 1 01
276375 0054 12 0 1 1 00
278375 00A2 00 1 1 1 01
280375 0055 F8 0 1 1 00
282375 0056 1D 0 1 1 01
284375 0057 7E 0 1 1 00
286375 0058 00 1 1 1 01
288375 0058 52 0 1 1 00
290375 00A3 3B 1 1 1 01
292375 0059 F8 0 1 1 00
294375 005A F0 0 1 1 01
296375 005B F4 0 1 1 00
298375 00A3 3B 0 1 1 01
300375 005C 12 0 1 1 00
302375 00A3 00 1 1 1 01
304375 005D 52 0 1 1 00
306375 00A4 2B 1 1 1 01
308375 005E 12 0 1 1 00
310375 00A4 00 1 1 1 01
312375 005F FC 0 1 1 00
314375 0060 F0 0 1 1 01
316375 0061 52 0 1 1 00
318375 00A5 1B 1 1 1 01
320375 0062 12 0 1 1 00
322375 00A5 00 1 1 1 01
324375 0063 F8 0 1 1 00
326375 0064 2D 0 1 1 01
328375 0065 74 0 1 1 00
330375 00A6 3A 0 1 1 01
332375 0066 52 0 1 1 00
334375 00A6 68 1 1 1 01
336375 0067 12 0 1 1 00
338375 00A6 00 1 1 1 01
340375 0068 7C 0 1 1 00
342375 0069 F0 0 1 1 01
344375 006A 52 0 1 1 00
346375 00A7 58 1 1 1 01
348375 006B 12 0 1 1 00
350375 00A7 00 1 1 1 01
352375 006C F8 0 1 1 00
354375 006D 0E 0 1 1 01
356375 006E F5 0 1 1 00
358375 00A8 42 0 1 1 01
360375 006F 52 0 1 1 00
362375 00A8 34 1 1 1 01
364375 0070 12 0 1 1 00
366375 00A8 00 1 1 1 01
368375 0071 F8 0 1 1 00
370375 0072 92 0 1 1 01
372375 0073 F5 0 1 1 00
374375 00A9 57 0 1 1 01
376375 0074 52 0 1 1 00
378375 00A9 C5 1 1 1 01
380375 0075 12 0 1 1 00
382375 00A9 00 1 1 1 01
384375 0076 F8 0 1 1 00
386375 0077 20 0 1 1 01
388375 0078 75 0 1 1 00
390375 00AA 40 0 1 1 01
392375 0079 52 0 1 1 00
394375 00AA 1F 1 1 1 01
396375 007A 12 0 1 1 00
398375 00AA 00 1 1 1 01
400375 007B FD 0 1 1 00
402375 007C F0 0 1 1 01
404375 007D 52 0 1 1 00
406375 00AB D1 1 1 1 01
408375 007E 12 0 1 1 00
410375 00AB 00 1 1 1 01
412375 007F 7D 0 1 1 00
414375 0080 F0 0 1 1 01
416375 0081 52 0 1 1 00
418375 00AC 1F 1 1 1 01
420375 0082 12 0 1 1 00
422375 00AC 00 1 1 1 01
424375 0083 F8 0 1 1 00
426375 0084 92 0 1 1 01
428375 0085 F7 0 1 1 00
430375 00AD 57 0 1 1 01
432375 0086 52 0 1 1 00
434375 00AD 3B 1 1 1 01
436375 0087 12 0 1 1 00
438375 00AD 00 1 1 1 01
