# time_ns ram_addr data nMRD nMWR Q SC
7125 0000 00 1 1 0 01
9125 0000 71 0 1 0 00
11125 0001 00 0 1 0 01
13125 0002 E2 0 1 0 00
15125 0002 00 1 1 0 01
17125 0003 7B 0 1 0 00
19125 0003 00 1 1 1 01
21125 0004 90 0 1 1 00
23125 0005 00 1 1 1 01
25125 0005 B3 0 1 1 00
27125 0005 00 1 1 1 01
29125 0006 F8 0 1 1 00
31125 0007 1E 0 1 1 01
33125 0008 A3 0 1 1 00
35125 0008 00 1 1 1 01
37125 0009 53 0 1 1 00
39125 001E 1E 1 1 1 01
41125 000A 13 0 1 1 00
43125 001E 00 1 1 1 01
45125 000B E3 0 1 1 00
47125 000B 00 1 1 1 01
49125 000C 73 0 1 1 00
51125 001F 1E 1 1 1 01
53125 000D 60 0 1 1 00
55125 001E 00 1 1 1 01
62375 000E 60 0 1 1 00
64375 001F 00 1 1 1 01
66375 000F 83 0 1 1 00
68375 0020 00 1 1 1 01
70375 0010 53 0 1 1 00
72375 0020 20 1 1 1 01
74375 0011 C4 0 1 1 00
76375 0011 00 1 1 1 01
78375 0011 00 1 1 1 01
80375 0012 43 0 1 1 00
82375 0020 20 0 1 1 01
84375 0013 53 0 1 1 00
86375 0021 20 1 1 1 01
88375 0014 03 0 1 1 00
90375 0021 20 0 1 1 01
92375 0015 13 0 1 1 00
94375 0021 00 1 1 1 01
96375 0016 53 0 1 1 00
98375 0022 20 1 1 1 01
100375 0017 72 0 1 1 00
102375 0022 20 0 1 1 01
104375 0022 00 1 1 1 11
106375 0018 53 0 1 1 00
108375 0023 20 1 1 1 01
110375 0019 F0 0 1 1 00
112375 0023 20 0 1 1 01
114375 001A 13 0 1 1 00
116375 0023 00 1 1 1 01
118375 001B 53 0 1 1 00
120375 0024 20 1 1 1 01
122375 001C 13 0 1 1 00
124375 0024 00 1 1 1 01
126375 001D D3 0 1 1 00
128375 001D 00 1 1 1 01
130375 0025 E2 0 1 1 00
132375 0025 00 1 1 1 01
134375 0026 93 0 1 1 00
136375 0027 00 1 1 1 01
138375 0027 B2 0 1 1 00
140375 0027 00 1 1 1 01
142375 0028 F8 0 1 1 00
144375 0029 9A 0 1 1 01
146375 002A A2 0 1 1 00
148375 002A 00 1 1 1 01
150375 002B F8 0 1 1 00
152375 002C 92 0 1 1 01
154375 002D F1 0 1 1 00
156375 009A 57 0 1 1 01
158375 002E 52 0 1 1 00
160375 009A D7 1 1 1 01
162375 002F 12 0 1 1 00
164375 009A 00 1 1 1 01
166375 0030 F9 0 1 1 00
168375 0031 28 0 1 1 01
170375 0032 52 0 1 1 00
172375 009B FF 1 1 1 01
174375 0033 F8 0 1 1 00
176375 0034 33 0 1 1 01
178375 0035 F3 0 1 1 00
180375 009B FF 0 1 1 01
182375 0036 12 0 1 1 00
184375 009B 00 1 1 1 01
186375 0037 52 0 1 1 00
188375 009C CC 1 1 1 01
190375 0038 12 0 1 1 00
192375 009C 00 1 1 1 01
194375 0039 FB 0 1 1 00
196375 003A 28 0 1 1 01
198375 003B 52 0 1 1 00
200375 009D E4 1 1 1 01
202375 009D 00 1 1 1 11
204375 003C F8 0 1 1 00
206375 003D 04 0 1 1 01
208375 003E F2 0 1 1 00
210375 009D E4 0 1 1 01
212375 003F 12 0 1 1 00
214375 009D 00 1 1 1 01
216375 0040 52 0 1 1 00
218375 009E 04 1 1 1 01
220375 0041 12 0 1 1 00
222375 009E 00 1 1 1 01
224375 0042 FA 0 1 1 00
226375 0043 FF 0 1 1 01
228375 0044 52 0 1 1 00
230375 009F 04 1 1 1 01
232375 0045 12 0 1 1 00
234375 009F 00 1 1 1 01
236375 0046 F8 0 1 1 00
238375 0047 85 0 1 1 01
240375 0048 F6 0 1 1 00
242375 0048 00 1 1 1 01
244375 0049 52 0 1 1 00
246375 00A0 42 1 1 1 01
248375 004A 12 0 1 1 00
250375 00A0 00 1 1 1 01
252375 004B F8 0 1 1 00
254375 004C 85 0 1 1 01
256375 004D FE 0 1 1 00
258375 004D 00 1 1 1 01
260375 004E 52 0 1 1 00
262375 00A1 0A 1 1 1 01
264375 004F 12 0 1 1 00
266375 00A1 00 1 1 1 01
268375 0050 F8 0 1 1 00
270375 0051 85 0 1 1 01
272375 0052 76 0 1 1 00
274375 0052 00 1 1 1 01
276375 0053 52 0 1 1 00
278375 00A2 C2 1 1 1 01
280375 0054 12 0 1 1 00
282375 00A2 00 1 1 1 01
284375 0055 F8 0 1 1 00
286375 0056 1D 0 1 1 01
288375 0057 7E 0 1 1 00
290375 0057 00 1 1 1 01
292375 0058 52 0 1 1 00
294375 00A3 3A 1 1 1 01
296375 0059 F8 0 1 1 00
298375 005A F0 0 1 1 01
300375 005B F4 0 1 1 00
302375 00A3 3A 0 1 1 01
304375 00A3 00 1 1 1 11
306375 005C 12 0 1 1 00
308375 00A3 00 1 1 1 01
310375 005D 52 0 1 1 00
312375 00A4 2A 1 1 1 01
314375 005E 12 0 1 1 00
316375 00A4 00 1 1 1 01
318375 005F FC 0 1 1 00
320375 0060 F0 0 1 1 01
322375 0061 52 0 1 1 00
324375 00A5 1A 1 1 1 01
326375 0062 12 0 1 1 00
328375 00A5 00 1 1 1 01
330375 0063 F8 0 1 1 00
332375 0064 2D 0 1 1 01
334375 0065 74 0 1 1 00
336375 00A6 3A 0 1 1 01
338375 0066 52 0 1 1 00
340375 00A6 68 1 1 1 01
342375 0067 12 0 1 1 00
344375 00A6 00 1 1 1 01
346375 0068 7C 0 1 1 00
348375 0069 F0 0 1 1 01
350375 006A 52 0 1 1 00
352375 00A7 58 1 1 1 01
354375 006B 12 0 1 1 00
356375 00A7 00 1 1 1 01
358375 006C F8 0 1 1 00
360375 006D 0E 0 1 1 01
362375 006E F5 0 1 1 00
364375 00A8 42 0 1 1 01
366375 006F 52 0 1 1 00
368375 00A8 34 1 1 1 01
370375 0070 12 0 1 1 00
372375 00A8 00 1 1 1 01
374375 0071 F8 0 1 1 00
376375 0072 92 0 1 1 01
378375 0073 F5 0 1 1 00
380375 00A9 57 0 1 1 01
382375 0074 52 0 1 1 00
384375 00A9 C5 1 1 1 01
386375 0075 12 0 1 1 00
388375 00A9 00 1 1 1 01
390375 0076 F8 0 1 1 00
392375 0077 20 0 1 1 01
394375 0078 75 0 1 1 00
396375 00AA 40 0 1 1 01
398375 0079 52 0 1 1 00
400375 00AA 1F 1 1 1 01
402375 00AA 00 1 1 1 11
404375 007A 12 0 1 1 00
406375 00AA 00 1 1 1 01
408375 007B FD 0 1 1 00
410375 007C F0 0 1 1 01
412375 007D 52 0 1 1 00
414375 00AB D1 1 1 1 01
416375 007E 12 0 1 1 00
418375 00AB 00 1 1 1 01
420375 007F 7D 0 1 1 00
422375 0080 F0 0 1 1 01
424375 0081 52 0 1 1 00
426375 00AC 1F 1 1 1 01
428375 0082 12 0 1 1 00
430375 00AC 00 1 1 1 01
432375 0083 F8 0 1 1 00
434375 0084 92 0 1 1 01
436375 0085 F7 0 1 1 00
438375 00AD 57 0 1 1 01
440375 0086 52 0 1 1 00
